,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
209,917559,25344436660,0.15,-2.0,-1.4315068493150684,-0.904109589041096,146.0,AlanGrayson,0.14406513,D,0,19,
210,1016372,25344436660,0.13,-2.0,-1.28698752228164,-0.8003565062388592,561.0,AlanGrayson,0.14406513,D,0,19,
211,1019593,25344436660,0.1,-1.0,-0.975609756097561,-0.9268292682926829,41.0,AlanGrayson,0.14406513,D,0,19,
212,233438,25344436660,0.05,-1.0,-1.164319248826291,-0.8028169014084507,213.0,AlanGrayson,0.14406513,D,0,19,
213,533378,25344436660,0.78,-1.0,-1.1081081081081081,-0.7837837837837838,74.0,AlanGrayson,0.14406513,D,0,19,
214,953119,25344436660,0.19,-1.0,-1.0087719298245612,-0.7719298245614036,228.0,AlanGrayson,0.14406513,D,0,19,
215,1419597,25344436660,0.05,-2.0,-1.6363636363636362,-1.0,11.0,AlanGrayson,0.14406513,D,0,19,
216,71125,25344436660,0.09,-1.0,-1.1265822784810127,-0.8227848101265823,79.0,AlanGrayson,0.14406513,D,0,19,
217,1147725,25344436660,0.64,-1.0,-1.3333333333333333,-1.0,3.0,AlanGrayson,0.14406513,D,0,19,
218,304159,25344436660,0.37,-2.0,-2.0,-1.0,1.0,AlanGrayson,0.14406513,D,0,19,
219,1156901,25344436660,0.9,-1.0,-1.2054794520547945,-0.8356164383561644,73.0,AlanGrayson,0.14406513,D,0,19,
